TraceType,IndirectAggregation,ScalingType,NLP,Technique,AUC,Credibility,LagGlobal,MAP
LOWERTRACED,RFNONE,MULTI,LSA,LOWERTRACED_RFNONE_MULTI_LSA,0.8248299319727891,0.8880952380952379,2.3174603174603177,0.7292134831460674
NONETRACED,SUM,SINGLE,VSM,NONETRACED_SUM_SINGLE_VSM,0.8170688910484829,-1.0051415476190475,2.1865079365079363,0.6825021738311771
NONETRACED,SUM,SINGLE,LSA,NONETRACED_SUM_SINGLE_LSA,0.8170688910484829,0.6828828241954189,2.1865079365079363,0.6825021738311771
UPPERTRACED,RFUNDER,SINGLE,VSM,UPPERTRACED_RFUNDER_SINGLE_VSM,0.8089569160997732,0.7690476190476191,2.2103174603174605,0.5476289682539682
UPPERTRACED,RFUNDER,SINGLE,LSA,UPPERTRACED_RFUNDER_SINGLE_LSA,0.7998866213151927,0.7928571428571428,2.3095238095238093,0.5589440167284478
DIRECT,NA,NA,LSA,DIRECT_NA_NA_LSA,0.7782366915019977,0.6639700160703713,2.293650793650793,0.6795107654487806
DIRECT,NA,NA,VSM,DIRECT_NA_NA_VSM,0.7782366915019977,0.6757951190476189,2.293650793650793,0.6795107654487806
UPPERTRACED,RFSMOTE,SINGLE,VSM,UPPERTRACED_RFSMOTE_SINGLE_VSM,0.7517006802721088,0.6761904761904762,2.2341269841269837,0.4690572585309427
UPPERTRACED,RFSMOTE,SINGLE,LSA,UPPERTRACED_RFSMOTE_SINGLE_LSA,0.7312925170068025,0.6619047619047619,2.2777777777777777,0.45128805620608897
NONETRACED,SUM,MULTI,VSM,NONETRACED_SUM_MULTI_VSM,0.7202009772162834,-0.8061657142857143,2.3293650793650795,0.5766025354493128
NONETRACED,SUM,MULTI,LSA,NONETRACED_SUM_MULTI_LSA,0.7202009772162834,0.6252690499075638,2.3293650793650795,0.5766025354493128
NONETRACED,SUM,RAW,VSM,NONETRACED_SUM_RAW_VSM,0.7102870910268871,0.5315005952380952,2.3293650793650795,0.5674328708529183
NONETRACED,SUM,RAW,LSA,NONETRACED_SUM_RAW_LSA,0.7102870910268871,0.6138307826707221,2.3293650793650795,0.5674328708529183
UPPERTRACED,RFNONE,MULTI,VSM,UPPERTRACED_RFNONE_MULTI_VSM,0.6862244897959183,0.7178571428571429,2.3293650793650795,0.43707658321060383
UPPERTRACED,RFNONE,RAW,VSM,UPPERTRACED_RFNONE_RAW_VSM,0.6842403628117915,0.7833333333333333,2.3293650793650795,0.4891534391534391
UPPERTRACED,RFNONE,RAW,LSA,UPPERTRACED_RFNONE_RAW_LSA,0.6825396825396824,0.7904761904761904,2.3174603174603177,0.5013468013468013
UPPERTRACED,RFSMOTE,RAW,LSA,UPPERTRACED_RFSMOTE_RAW_LSA,0.6802721088435374,0.6714285714285714,2.3293650793650795,0.4181783824640967
UPPERTRACED,RFNONE,SINGLE,VSM,UPPERTRACED_RFNONE_SINGLE_VSM,0.6706349206349207,0.8023809523809524,2.3095238095238093,0.5388888888888889
UPPERTRACED,RFNONE,SINGLE,LSA,UPPERTRACED_RFNONE_SINGLE_LSA,0.6499433106575964,0.7892857142857143,2.313492063492064,0.5071943929086786
UPPERTRACED,RFSMOTE,RAW,VSM,UPPERTRACED_RFSMOTE_RAW_VSM,0.6448412698412698,0.5678571428571428,2.281746031746032,0.3802741296643736
NONETRACED,RFUNDER,MULTI,LSA,NONETRACED_RFUNDER_MULTI_LSA,0.6320861678004535,0.7738095238095238,2.3174603174603177,0.465954415954416
NONETRACED,RFUNDER,SINGLE,LSA,NONETRACED_RFUNDER_SINGLE_LSA,0.6309523809523809,0.7785714285714286,2.305555555555556,0.4833333333333334
UPPERTRACED,RFUNDER,MULTI,LSA,UPPERTRACED_RFUNDER_MULTI_LSA,0.6230158730158729,0.5023809523809524,2.2896825396825395,0.36349331926863576
NONETRACED,MEDIAN,SINGLE,LSA,NONETRACED_MEDIAN_SINGLE_LSA,0.6141952812871181,0.6506830720092915,2.333333333333333,0.4521715088313009
NONETRACED,MEDIAN,SINGLE,VSM,NONETRACED_MEDIAN_SINGLE_VSM,0.6141952812871181,0.6811040476190476,2.333333333333333,0.4521715088313009
NONETRACED,RFNONE,MULTI,LSA,NONETRACED_RFNONE_MULTI_LSA,0.5969387755102041,0.7547619047619047,2.3293650793650795,0.4235969387755102
NONETRACED,MEDIAN,MULTI,LSA,NONETRACED_MEDIAN_MULTI_LSA,0.5900415721844293,0.6074276415203999,2.3293650793650795,0.4177388737189421
NONETRACED,MEDIAN,MULTI,VSM,NONETRACED_MEDIAN_MULTI_VSM,0.5900415721844293,0.6725257142857143,2.3293650793650795,0.4177388737189421
