Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,Technique,PathAggregation,AUC,Credibility,LagGlobal,MAP
EasyClinic,NONETRACED,Indirect,0.0,MAX,SINGLE,LSA,NONETRACED_MAX_SINGLE_LSA,NA,0.9154991361624014,0.7206195327292928,1.825396825396825,0.8518149488599231
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,MULTI,VSM,UPPERTRACED_SUM_MULTI_VSM,NA,0.8952529424468199,-0.0954829761904762,1.7103174603174602,0.7759705138628438
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,MULTI,LSA,UPPERTRACED_SUM_MULTI_LSA,NA,0.8952529424468199,0.7191517968629223,1.7103174603174602,0.7759705138628438
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,SINGLE,LSA,LOWERTRACED_RFUNDER_SINGLE_LSA,NA,0.8948412698412699,0.9321428571428572,2.3134920634920637,0.8342636895268475
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,RAW,LSA,UPPERTRACED_SUM_RAW_LSA,NA,0.8911598369506533,0.7154200050276845,1.7023809523809523,0.7695319616274482
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,SUM,RAW,VSM,UPPERTRACED_SUM_RAW_VSM,NA,0.8911598369506533,0.5445865476190477,1.7023809523809523,0.7695319616274482
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,SINGLE,LSA,LOWERTRACED_RFNONE_SINGLE_LSA,NA,0.8888888888888888,0.9333333333333332,2.3015873015873014,0.8444444444444444
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,SINGLE,VSM,LOWERTRACED_RFUNDER_SINGLE_VSM,NA,0.8829365079365079,0.925,2.3134920634920637,0.8176245210727969
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,SINGLE,LSA,LOWERTRACED_RFSMOTE_SINGLE_LSA,NA,0.8829365079365079,0.925,2.3015873015873014,0.8176245210727969
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,SINGLE,VSM,LOWERTRACED_RFSMOTE_SINGLE_VSM,NA,0.8684807256235827,0.9047619047619048,2.2896825396825395,0.7595959595959596
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,MULTI,LSA,LOWERTRACED_RFUNDER_MULTI_LSA,NA,0.8681972789115645,0.9059523809523812,2.3015873015873014,0.7632159315339039
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,SINGLE,VSM,LOWERTRACED_RFNONE_SINGLE_VSM,NA,0.8650793650793651,0.919047619047619,2.2817460317460316,0.8111111111111111
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,MULTI,VSM,LOWERTRACED_RFUNDER_MULTI_VSM,NA,0.8622448979591837,0.9071428571428573,2.293650793650793,0.7698529411764705
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,MULTI,LSA,LOWERTRACED_RFSMOTE_MULTI_LSA,NA,0.8585600907029479,0.9083333333333332,2.3293650793650795,0.7762413512413512
EasyClinic,NONETRACED,Indirect,0.0,MAX,MULTI,LSA,NONETRACED_MAX_MULTI_LSA,NA,0.8470535039412591,0.6839238004841253,2.2857142857142856,0.7520098970363776
EasyClinic,NONETRACED,Indirect,0.0,MAX,MULTI,VSM,NONETRACED_MAX_MULTI_VSM,NA,0.8470535039412591,0.6640365476190476,2.2857142857142856,0.7520098970363776
EasyClinic,NONETRACED,Indirect,0.0,MAX,RAW,VSM,NONETRACED_MAX_RAW_VSM,NA,0.8464258719360761,0.6887360714285714,2.2896825396825395,0.7509207443292613
EasyClinic,NONETRACED,Indirect,0.0,MAX,RAW,LSA,NONETRACED_MAX_RAW_LSA,NA,0.8464258719360761,0.6795310820211219,2.2896825396825395,0.7509207443292613
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,MULTI,VSM,LOWERTRACED_RFSMOTE_MULTI_VSM,NA,0.8367346938775511,0.8857142857142857,2.3174603174603177,0.7159663865546219
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,MULTI,VSM,LOWERTRACED_RFNONE_MULTI_VSM,NA,0.8268140589569158,0.8892857142857142,2.3015873015873014,0.7319788064201471
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,MULTI,LSA,LOWERTRACED_RFNONE_MULTI_LSA,NA,0.8248299319727891,0.8880952380952379,2.3174603174603177,0.7292134831460674
EasyClinic,NONETRACED,Indirect,0.0,SUM,SINGLE,VSM,NONETRACED_SUM_SINGLE_VSM,NA,0.8170688910484829,-1.0051415476190475,2.1865079365079363,0.6825021738311771
EasyClinic,NONETRACED,Indirect,0.0,SUM,SINGLE,LSA,NONETRACED_SUM_SINGLE_LSA,NA,0.8170688910484829,0.6828828241954189,2.1865079365079363,0.6825021738311771
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,SINGLE,VSM,UPPERTRACED_RFUNDER_SINGLE_VSM,NA,0.8089569160997732,0.7690476190476191,2.2103174603174605,0.5476289682539682
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,SINGLE,LSA,UPPERTRACED_RFUNDER_SINGLE_LSA,NA,0.7998866213151927,0.7928571428571428,2.3095238095238093,0.5589440167284478
